,hotel_names,city_names,counrtys,contenantels,ratings,reviews
0,Mercure Hotel Khamis Mushayt,khamis mushayt,saudi arabia,middle east,(3.0),108
1,Mercure Al Khobar Hotel,al khobar,saudi arabia,middle east,(3.5),213
2,Mövenpick Al Khobar,al khobar,saudi arabia,middle east,(4.5),798
3,Sofitel Al Khobar The Corniche,al khobar,saudi arabia,middle east,(4.5),1038
4,Mövenpick Al Khobar Beach,al khobar,saudi arabia,middle east,(4.5),798
5,Novotel Dammam Business Park,dammam,saudi arabia,middle east,(4.0),374
6,Sofitel Al Khobar The Corniche,dammam,saudi arabia,middle east,(4.5),1038
7,Mercure Al Khobar Hotel,dammam,saudi arabia,middle east,(3.5),213
8,ibis Yanbu Saudi Arabia,yanbu,saudi arabia,middle east,(4.0),163
9,Novotel Yanbu,yanbu,saudi arabia,middle east,(4.5),146
10,Novotel Jazan,jizan,saudi arabia,middle east,(4.5),73
11,Shaden Resort,al ula,saudi arabia,middle east,nan,
12,Banyan Tree AlUla,al ula,saudi arabia,middle east,nan,
13,Novotel Suites Riyadh Olaya,riyadh,saudi arabia,middle east,(3.5),228
14,Novotel Riyadh Al Anoud,riyadh,saudi arabia,middle east,(4.0),461
15,ibis Riyadh Olaya Street,riyadh,saudi arabia,middle east,(3.5),407
16,Novotel Suites Riyadh Dyar,riyadh,saudi arabia,middle east,(3.0),115
17,Mövenpick Hotel and Residences Riyadh,riyadh,saudi arabia,middle east,nan,
18,Fairmont Riyadh,riyadh,saudi arabia,middle east,(4.5),168
19,Fairmont Ramla Serviced Residences,riyadh,saudi arabia,middle east,nan,
20,Mövenpick Qassim,buraydah,saudi arabia,middle east,(4.5),186
21,ibis Jeddah City Center,jeddah,saudi arabia,middle east,(4.0),122
22,Adagio Jeddah City Center,jeddah,saudi arabia,middle east,(5.0),23
23,Mövenpick Jeddah,jeddah,saudi arabia,middle east,(4.0),568
24,Novotel Jeddah Tahlia Street,jeddah,saudi arabia,middle east,(4.5),496
25,Mövenpick Hotel Tahlia Jeddah,jeddah,saudi arabia,middle east,(4.5),75
26,Swissôtel Living Jeddah,jeddah,saudi arabia,middle east,nan,
27,Mövenpick Jeddah City Star,jeddah,saudi arabia,middle east,(4.5),467
28,Adagio Aparthotel Jeddah Malik Road,jeddah,saudi arabia,middle east,(4.0),33
29,Mövenpick Jeddah Al Nawras,jeddah,saudi arabia,middle east,(3.5),423
30,ibis Jeddah Malik Road,jeddah,saudi arabia,middle east,(4.5),76
31,Pullman ZamZam Makkah,jeddah,saudi arabia,middle east,(4.0),2722
32,Hibatullah Hotel - Managed by AccorHotels,mecca,saudi arabia,middle east,(3.5),49
